# STATION: E8450
# STATION NAME: EW8450 Sammamish
# LATITUDE: 47.58300
# LONGITUDE: -122.03867
# ELEVATION [ft]: 452
# STATE: WA
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,precip_accum_one_hour_set_1,precip_accum_24_hour_set_1,precip_accum_since_local_midnight_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
,,INHG,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,Inches,Inches,Inches,Fahrenheit,Fahrenheit,code,INHG,INHG,Fahrenheit
E8450,06/30/2021 23:02 PDT,29.97,65.0,78.0,1.0,110.0,4.0,,,0.0,0.0,57.93,,ESE,29.48,28.86,
E8450,06/30/2021 23:07 PDT,29.97,65.0,78.0,1.0,156.0,4.0,,,0.0,0.0,57.93,,SSE,29.48,28.86,
E8450,06/30/2021 23:12 PDT,29.97,65.0,78.0,0.0,,3.0,,,0.0,0.0,57.93,,,29.48,28.86,
E8450,06/30/2021 23:17 PDT,29.97,65.0,78.0,1.0,152.0,4.0,,,0.0,0.0,57.93,,SSE,29.48,28.86,
E8450,06/30/2021 23:22 PDT,29.98,65.0,78.0,1.0,139.0,4.0,,,0.0,0.0,57.93,,SE,29.49,28.87,
E8450,06/30/2021 23:27 PDT,29.98,65.0,78.0,1.0,144.0,4.0,,,0.0,0.0,57.93,,SE,29.49,28.87,
E8450,06/30/2021 23:32 PDT,29.98,65.0,78.0,1.0,153.0,3.0,,,0.0,0.0,57.93,,SSE,29.49,28.87,
E8450,06/30/2021 23:37 PDT,29.98,65.0,77.0,1.0,119.0,3.0,,,0.0,0.0,57.57,,ESE,29.49,28.88,
E8450,06/30/2021 23:42 PDT,29.98,65.0,77.0,1.0,123.0,3.0,,,0.0,0.0,57.57,,ESE,29.49,28.88,
E8450,06/30/2021 23:47 PDT,29.98,65.0,77.0,0.0,,3.0,,,0.0,0.0,57.57,,,29.49,28.88,
E8450,06/30/2021 23:52 PDT,29.98,65.0,78.0,0.0,,3.0,,,0.0,0.0,57.93,,,29.49,28.87,
E8450,06/30/2021 23:57 PDT,29.98,65.0,78.0,1.0,116.0,3.0,,,0.0,0.0,57.93,,ESE,29.49,28.87,
E8450,07/01/2021 00:02 PDT,29.98,65.0,78.0,1.0,143.0,4.0,,,0.0,0.0,57.93,,SE,29.49,28.87,
E8450,07/01/2021 00:07 PDT,29.98,65.0,78.0,1.0,141.0,4.0,,,0.0,0.0,57.93,,SE,29.49,28.87,
E8450,07/01/2021 00:12 PDT,29.98,65.0,79.0,1.0,115.0,4.0,,,0.0,0.0,58.28,,ESE,29.49,28.86,
E8450,07/01/2021 00:17 PDT,29.99,65.0,80.0,1.0,209.0,5.0,,,0.0,0.0,58.64,,SSW,29.5,28.85,
E8450,07/01/2021 00:22 PDT,29.99,65.0,80.0,0.0,,5.0,,,0.0,0.0,58.64,,,29.5,28.85,
E8450,07/01/2021 00:27 PDT,29.99,65.0,81.0,0.0,,5.0,,,0.0,0.0,58.99,,,29.5,28.84,
