Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_24_hour_set_1,precip_accum_since_local_midnight_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
E8450,05/31/2021 23:02 PDT,30.19,63.0,74.0,0.0,,0.0,0.0,0.0,54.52,,,29.7,29.22,
E8450,05/31/2021 23:07 PDT,30.19,62.0,74.0,0.0,,0.0,0.0,0.0,53.56,,,29.7,29.25,
E8450,05/31/2021 23:12 PDT,30.18,62.0,75.0,0.0,,0.0,0.0,0.0,53.93,,,29.69,29.23,
E8450,05/31/2021 23:17 PDT,30.19,62.0,77.0,0.0,,0.0,0.0,0.0,54.65,,,29.7,29.22,
E8450,05/31/2021 23:22 PDT,30.18,62.0,76.0,0.0,,0.0,0.0,0.0,54.29,,,29.69,29.22,
E8450,05/31/2021 23:27 PDT,30.18,62.0,77.0,0.0,,0.0,0.0,0.0,54.65,,,29.69,29.21,
E8450,05/31/2021 23:32 PDT,30.18,61.0,77.0,0.0,,0.0,0.0,0.0,53.68,,,29.69,29.25,
E8450,05/31/2021 23:37 PDT,30.18,61.0,77.0,0.0,,0.0,0.0,0.0,53.68,,,29.69,29.25,
E8450,05/31/2021 23:42 PDT,30.18,61.0,78.0,0.0,,0.0,0.0,0.0,54.04,,,29.69,29.24,
E8450,05/31/2021 23:47 PDT,30.18,61.0,78.0,0.0,,0.0,0.0,0.0,54.04,,,29.69,29.24,
E8450,05/31/2021 23:52 PDT,30.18,60.0,78.0,0.0,,0.0,0.0,0.0,53.06,,,29.69,29.28,
E8450,05/31/2021 23:57 PDT,30.18,60.0,79.0,0.0,,0.0,0.0,0.0,53.41,,,29.69,29.26,
E8450,06/01/2021 00:02 PDT,30.18,60.0,79.0,0.0,,0.0,0.0,0.0,53.41,,,29.69,29.26,
E8450,06/01/2021 00:07 PDT,30.17,60.0,81.0,0.0,,0.0,0.0,0.0,54.1,,,29.68,29.23,
E8450,06/01/2021 00:12 PDT,30.17,60.0,81.0,0.0,,0.0,0.0,0.0,54.1,,,29.68,29.23,
E8450,06/01/2021 00:17 PDT,30.17,59.0,83.0,0.0,,0.0,0.0,0.0,53.8,,,29.68,29.25,
E8450,06/01/2021 00:22 PDT,30.17,59.0,83.0,0.0,,0.0,0.0,0.0,53.8,,,29.68,29.25,
E8450,06/01/2021 00:27 PDT,30.17,59.0,83.0,0.0,,0.0,0.0,0.0,53.8,,,29.68,29.25,
E8450,06/01/2021 00:32 PDT,30.17,59.0,83.0,0.0,,0.0,0.0,0.0,53.8,,,29.68,29.25,
E8450,06/01/2021 00:37 PDT,30.17,58.0,83.0,0.0,,0.0,0.0,0.0,52.82,,,29.68,29.29,
E8450,06/01/2021 00:42 PDT,30.16,58.0,84.0,0.0,,0.0,0.0,0.0,53.15,,,29.67,29.27,
E8450,06/01/2021 00:47 PDT,30.16,58.0,83.0,0.0,,0.0,0.0,0.0,52.82,,,29.67,29.28,
E8450,06/01/2021 00:52 PDT,30.16,58.0,83.0,0.0,,0.0,0.0,0.0,52.82,,,29.67,29.28,
E8450,06/01/2021 00:57 PDT,30.16,58.0,84.0,0.0,,0.0,0.0,0.0,53.15,,,29.67,29.27,
E8450,06/01/2021 01:02 PDT,30.16,58.0,84.0,0.0,,0.0,0.0,0.0,53.15,,,29.67,29.27,
E8450,06/01/2021 01:07 PDT,30.16,58.0,85.0,0.0,,0.0,0.0,0.0,53.48,,,29.67,29.26,
E8450,06/01/2021 01:12 PDT,30.16,58.0,85.0,0.0,,0.0,0.0,0.0,53.48,,,29.67,29.26,
E8450,06/01/2021 01:17 PDT,30.16,58.0,85.0,0.0,,0.0,0.0,0.0,53.48,,,29.67,29.26,
E8450,06/01/2021 01:22 PDT,30.16,58.0,85.0,0.0,,0.0,0.0,0.0,53.48,,,29.67,29.26,
E8450,06/01/2021 01:27 PDT,30.15,57.0,86.0,0.0,,0.0,0.0,0.0,52.81,,,29.66,29.28,
E8450,06/01/2021 01:32 PDT,30.15,57.0,86.0,0.0,,0.0,0.0,0.0,52.81,,,29.66,29.28,
